salary,city,post_time,max_salary,url,company,title,min_salary
,上海-长宁区,12-29,,"http://search.51job.com/list/000000,000000,0000,00,9,99,%E5%AE%A1%E8%AE%A1%E5%91%98,2,4.html",上海飞科电器股份有限公司,审计员,
,重庆,12-29,,"http://search.51job.com/list/000000,000000,0000,00,9,99,%E5%AE%A1%E8%AE%A1%E5%91%98,2,4.html",德勤华永会计师事务所（特殊普通合...,Senior-Group Audit Coordination-Audit(CQ GDC) 高级审计员-集团审计协调中心-审计部(重庆全球交付中心),
8000-9999/月,上海-静安区,12-29,9999,"http://search.51job.com/list/000000,000000,0000,00,9,99,%E5%AE%A1%E8%AE%A1%E5%91%98,2,4.html",中兴财光华会计师事务所（特殊普通...,高级审计员,8000
3000-4499/月,天津-河西区,01-01,4499,"http://search.51job.com/list/000000,000000,0000,00,9,99,%E5%AE%A1%E8%AE%A1%E5%91%98,2,1.html",天津普天联合会计师事务所,审计员,3000
3500-5000/月,南宁,01-01,5000,"http://search.51job.com/list/000000,000000,0000,00,9,99,%E5%AE%A1%E8%AE%A1%E5%91%98,2,1.html",广西南宁东亚糖业集团,报表审计员,3500
4000-8000/月,南京,01-01,8000,"http://search.51job.com/list/000000,000000,0000,00,9,99,%E5%AE%A1%E8%AE%A1%E5%91%98,2,1.html",江苏泰乐城老年产业投资有限公司,审计员（双休，五险，晋升空间大，薪资福利优厚）,4000
8000-12000/月,上海-徐汇区,11-07,12000,"http://search.51job.com/list/000000,000000,0000,00,9,99,%E5%AE%A1%E8%AE%A1%E5%91%98,2,8.html",美年大健康产业（集团）有限公司,审计员,8000
3000-4999/月,深圳-福田区,11-05,4999,"http://search.51job.com/list/000000,000000,0000,00,9,99,%E5%AE%A1%E8%AE%A1%E5%91%98,2,8.html",深圳柏信豪企业服务有限公司,审计员,3000
2000-4000/月,哈尔滨-道里区,11-04,4000,"http://search.51job.com/list/000000,000000,0000,00,9,99,%E5%AE%A1%E8%AE%A1%E5%91%98,2,8.html",瑞华会计师事务所（特殊普通合伙）...,审计员,2000
,成都,11-03,,"http://search.51job.com/list/000000,000000,0000,00,9,99,%E5%AE%A1%E8%AE%A1%E5%91%98,2,8.html",瑞华会计师事务所（特殊普通合伙）...,工程造价审计员,
20000-24999/月,异地招聘,12-09,24999,"http://search.51job.com/list/000000,000000,0000,00,9,99,%E5%AE%A1%E8%AE%A1%E5%91%98,2,7.html",PAN-ASIA FINE CHEMICALS LIMITED...,Internal Auditor (Senior)高级审计员,20000
4000-8000/月,重庆,12-09,8000,"http://search.51job.com/list/000000,000000,0000,00,9,99,%E5%AE%A1%E8%AE%A1%E5%91%98,2,7.html",重庆市淇澳工程造价咨询有限公司,审计员-同辉会计师事务所,4000
