salary,city,post_time,max_salary,url,company,title,min_salary
5000-10000/月,武汉-洪山区,12-30,10000,"http://search.51job.com/list/000000,000000,0000,00,9,99,c++,2,31.html",北京尖峰计算机系统有限公司武汉分...,急聘C#.NET软件工程师,5000
8000-9999/月,北京-海淀区,12-30,9999,"http://search.51job.com/list/000000,000000,0000,00,9,99,c++,2,32.html",北京科电航宇空间技术有限公司,C#工程师,8000
10000-14999/月,北京-海淀区,12-30,14999,"http://search.51job.com/list/000000,000000,0000,00,9,99,c++,2,32.html",北京智学客教育科技有限公司,高级C++软件工程师,10000
4500-5999/月,南京-雨花台区,12-30,5999,"http://search.51job.com/list/000000,000000,0000,00,9,99,c++,2,32.html",江苏卓达信息科技有限公司,C语言软件工程师,4500
1-99999/月,上海-徐汇区,12-30,99999,"http://search.51job.com/list/000000,000000,0000,00,9,99,c++,2,32.html",曼威网络科技（上海）有限公司,C++开发工程师（实习）,1
3000-4499/月,深圳,12-30,4499,"http://search.51job.com/list/000000,000000,0000,00,9,99,c++,2,32.html",深圳市奥丁格啤酒销售有限公司,B2C运营助理,3000
12000-25000/月,珠海,12-30,25000,"http://search.51job.com/list/000000,000000,0000,00,9,99,c++,2,36.html",珠海汇金科技股份有限公司,高级C/C++软件工程师,12000
10000-14999/月,深圳,12-30,14999,"http://search.51job.com/list/000000,000000,0000,00,9,99,c++,2,36.html",深圳市创业印章实业有限公司,C++工程师,10000
3000-4499/月,武汉-江岸区,12-30,4499,"http://search.51job.com/list/000000,000000,0000,00,9,99,c++,2,36.html",湖北西邮季电子商务有限公司,客服专员c,3000
8000-15000/月,深圳-南山区,12-30,15000,"http://search.51job.com/list/000000,000000,0000,00,9,99,c++,2,36.html",深圳市红鸟网络科技股份有限公司,c++游戏开发工程师,8000
10000-17000/月,北京-海淀区,12-30,17000,"http://search.51job.com/list/000000,000000,0000,00,9,99,c++,2,36.html",北京易天正诚信息技术有限公司,C# 研发工程师,10000
10000-14999/月,北京-大兴区,12-30,14999,"http://search.51job.com/list/000000,000000,0000,00,9,99,c++,2,36.html",南京优倍自动化系统有限公司,C# .net软件开发工程师（北京）,10000
6000-7999/月,宁波,12-30,7999,"http://search.51job.com/list/000000,000000,0000,00,9,99,c++,2,36.html",宁波理工环境能源科技股份有限公司,C/C++软件工程师,6000
8000-12000/月,昆明-官渡区,12-30,12000,"http://search.51job.com/list/000000,000000,0000,00,9,99,c++,2,34.html",云南诺寻科科技有限公司,linux c++软件研发工程师,8000
4500-5999/月,苏州,12-30,5999,"http://search.51job.com/list/000000,000000,0000,00,9,99,c++,2,34.html",苏州箴全健身体育用品有限公司,B2C销售/客服 组长、主管,4500
8000-16000/月,广州-天河区,12-30,16000,"http://search.51job.com/list/000000,000000,0000,00,9,99,c++,2,34.html",北京盛世创富证券投资顾问有限公司...,金融软件工程师（C#）,8000
3500-4500/月,深圳-龙岗区,12-30,4500,"http://search.51job.com/list/000000,000000,0000,00,9,99,c++,2,34.html",深圳市海娅科技有限公司,B2C采购员,3500
6000-9000/月,上海,12-30,9000,"http://search.51job.com/list/000000,000000,0000,00,9,99,c++,2,34.html",明达科（上海）人才服务有限公司,软件工程师（C语言开发）（HL9-10长宁区）,6000
,上海,12-30,,"http://search.51job.com/list/000000,000000,0000,00,9,99,c++,2,34.html",科思创聚合物（中国）有限公司（原...,C&B Expert,
3000-4499/月,上海-黄浦区,12-30,4499,"http://search.51job.com/list/000000,000000,0000,00,9,99,c++,2,35.html",上海外滩三号饮食文化有限公司,空调工 A/C Technician,3000
3500-6000/月,成都-武侯区,12-30,6000,"http://search.51job.com/list/000000,000000,0000,00,9,99,c++,2,35.html",四川复兴教育科技有限公司,C语言开发工程师+3500起,3500
4500-5999/月,宁波,12-30,5999,"http://search.51job.com/list/000000,000000,0000,00,9,99,c++,2,35.html",宁波金瑞国际贸易有限公司,高薪采购员（3C电子产品）,4500
3000-6000/月,南京-浦口区,12-30,6000,"http://search.51job.com/list/000000,000000,0000,00,9,99,c++,2,35.html",南京猎搜信息技术有限公司,C#/Asp.net软件工程师助理,3000
10000-14999/月,上海-青浦区,12-30,14999,"http://search.51job.com/list/000000,000000,0000,00,9,99,c++,2,35.html",柏宜照明（上海）股份有限公司,C# 软件工程师,10000
6000-9000/月,深圳-龙岗区,12-30,9000,"http://search.51job.com/list/000000,000000,0000,00,9,99,c++,2,35.html",深圳市兆驰股份有限公司,嵌入式Linux C软件开发工程师,6000
25000-29999/月,北京-朝阳区,12-30,29999,"http://search.51job.com/list/000000,000000,0000,00,9,99,c++,2,33.html",北京闲徕互娱网络科技有限公司,C++服务器开发,25000
6000-10000/月,济南,12-30,10000,"http://search.51job.com/list/000000,000000,0000,00,9,99,c++,2,33.html",中孚信息股份有限公司,C++工程师（商用密码产品）,6000
10000-14999/月,上海-浦东新区,12-30,14999,"http://search.51job.com/list/000000,000000,0000,00,9,99,c++,2,33.html",上海异势信息科技有限公司,C++开发工程师,10000
4000-6000/月,杭州-拱墅区,12-30,6000,"http://search.51job.com/list/000000,000000,0000,00,9,99,c++,2,33.html",厦门中软卓越教育服务有限公司,B2C商城网站开发（人才储备）,4000
4500-5999/月,惠州,12-30,5999,"http://search.51job.com/list/000000,000000,0000,00,9,99,c++,2,33.html",广东中科立信科技有限公司,C#开发工程师,4500
5000-8000/月,苏州,12-30,8000,"http://search.51job.com/list/000000,000000,0000,00,9,99,c++,2,33.html",华晓精密工业(苏州)有限公司,中级C#软件工程师,5000
10000-14999/月,大连,12-30,14999,"http://search.51job.com/list/000000,000000,0000,00,9,99,c++,2,31.html",大连雅谷信息科技有限公司,.net C#高级开发工程师,10000
10000-14999/月,大连,12-30,14999,"http://search.51job.com/list/000000,000000,0000,00,9,99,c++,2,31.html",广东能龙教育股份有限公司,C++工程师,10000
3000-4499/月,长沙,12-30,4499,"http://search.51job.com/list/000000,000000,0000,00,9,99,c++,2,31.html",东莞市和旺电器有限公司湖南分公司,B2C法语/德语/西班牙语客服,3000
4000-19999/月,杭州-萧山区,12-30,19999,"http://search.51job.com/list/000000,000000,0000,00,9,99,c++,2,31.html",拓辉科技（杭州）有限公司,C#,4000
10000-14999/月,上海,12-30,14999,"http://search.51job.com/list/000000,000000,0000,00,9,99,c++,2,31.html",上海能资信息科技有限公司,C#开发工程师,10000
8000-9999/月,上海-杨浦区,12-30,9999,"http://search.51job.com/list/000000,000000,0000,00,9,99,c++,2,31.html",施慧达药业集团（吉林）有限公司,Asp.net/C# 软件开发工程师,8000
40000-49999/月,上海-浦东新区,12-30,49999,"http://search.51job.com/list/000000,000000,0000,00,9,99,c++,2,32.html",奥可纳软件技术（上海）有限公司,C++ Developer( C++ Developer),40000
3500-7000/月,上海-松江区,12-30,7000,"http://search.51job.com/list/000000,000000,0000,00,9,99,c++,2,32.html",上海熠彩实业有限公司,电商运营（B2C）,3500
8000-9999/月,沈阳,12-30,9999,"http://search.51job.com/list/000000,000000,0000,00,9,99,c++,2,32.html",沈阳乐竞游科技有限公司,C#游戏服务器主程,8000
10000-14999/月,北京-海淀区,12-30,14999,"http://search.51job.com/list/000000,000000,0000,00,9,99,c++,2,32.html",青岛伟东云教育集团有限公司,C++研发工程师,10000
5000-8000/月,深圳,12-30,8000,"http://search.51job.com/list/000000,000000,0000,00,9,99,c++,2,38.html",北京睿智融科控股股份有限公司,C++开发工程师(服务器),5000
4500-5999/月,深圳,12-30,5999,"http://search.51job.com/list/000000,000000,0000,00,9,99,c++,2,38.html",深圳市精致电子科技有限公司,亚马逊/速卖通B2C销售,4500
